145,Bebe,Pulsacion,lpm,false,12/07/2020 10:21:00
185,Bebe,Pulsacion,lpm,false,12/07/2020 10:22:00
183,Bebe,Pulsacion,lpm,false,12/07/2020 10:23:00
165,Bebe,Pulsacion,lpm,false,12/07/2020 10:24:00
160,Bebe,Pulsacion,lpm,false,12/07/2020 10:25:00
110,Bebe,Pulsacion,lpm,false,12/07/2020 10:26:00
180,Bebe,Pulsacion,lpm,false,12/07/2020 10:27:00
150,Bebe,Pulsacion,lpm,false,12/07/2020 10:28:00
162,Bebe,Pulsacion,lpm,false,12/07/2020 10:29:00
168,Bebe,Pulsacion,lpm,false,12/07/2020 10:30:00
170,Bebe,Pulsacion,lpm,false,12/07/2020 10:31:00
140,Bebe,Pulsacion,lpm,false,12/07/2020 10:32:00
110,Bebe,Pulsacion,lpm,false,12/07/2020 10:33:00
160,Bebe,Pulsacion,lpm,false,12/07/2020 10:34:00
152,Bebe,Pulsacion,lpm,false,12/07/2020 10:35:00
